Bcmass tau  tauerror
6.1060333 0.9266486 0.08063071
6.126773 0.055709135 0.034519996
6.3612976 0.06727963 0.04116061
6.2411804 1.1080182 0.1515037
6.300346 0.3000337 0.069520965
6.3898005 0.037608262 0.02877612
6.394258 0.059373613 0.03684891
6.262542 0.05481245 0.053304914
6.481596 0.04485422 0.043383148
6.240673 0.5261108 0.10302539
6.060275 0.028830579 0.040549487
6.1420417 0.16035452 0.05520298
6.2914767 0.041743606 0.03023633
6.2444057 0.112951316 0.10593227
6.052792 0.033771433 0.0344932
6.2855783 0.023946023 0.028829852
6.1561823 0.61076736 0.14929307
6.0672517 0.09159081 0.04623714
6.1789637 0.033740263 0.044468954
6.3664827 0.040592596 0.028842118
6.2244253 0.053418707 0.05261813
6.3632817 0.14053907 0.042368777
6.0890636 0.27288133 0.06643362
6.1820264 1.2523441 0.9339517
6.054836 1.2104373 0.05854168
6.300726 0.3213622 0.09531863
6.113575 0.08980283 0.037244435
6.082217 0.030280871 0.035314918
6.312179 1.1570256 0.21581088
6.253614 1.0673308 0.07590645
6.2868557 0.07143845 0.044257943
6.3621416 0.06354991 0.055255447
6.3041472 0.36295673 0.055485852
6.3935947 0.0604599 0.036051534
6.2631354 0.0905094 0.037956506
6.1271515 0.10594731 0.03982417
6.200423 0.08320134 0.039904024
6.260062 0.15769868 0.036924433
6.222452 0.89426273 0.11802066
6.417819 0.03547109 0.034183532
6.3787327 0.022613758 0.027319895
6.2033167 0.08901496 0.03532201
6.2719545 0.090146095 0.035018582
6.3779182 0.012259088 0.048470594
6.3787575 0.09682421 0.053895168
6.29311 0.040955123 0.030723495
6.0693026 0.09531479 0.034383792
6.275424 0.36283424 0.07465169
6.2686977 0.027967794 0.03034865
6.349308 0.16179025 0.03365464
6.4233336 0.0527604 0.029263653
6.0730524 0.068803914 0.037766278
6.06747 0.051623836 0.029364133
6.335424 0.07350449 0.027482921
6.159778 0.10106446 0.061662234
6.4735694 0.2599131 0.067968875
6.2211413 0.64258915 0.13704401
6.0746784 0.13536654 0.048633687
6.117038 0.062022034 0.0364428
6.1748176 0.18397628 0.04794522
6.2910423 0.113148265 0.039866216
6.3713984 0.026753325 0.023206864
6.0961814 0.08689782 0.039262224
6.4626036 0.08160863 0.034757618
6.223224 0.08813332 0.0483549
6.235929 0.100780755 0.04047434
6.254706 0.7599149 0.10880397
6.1723294 0.5337657 0.2821742
6.2151537 0.44346642 0.0879995
6.2777762 0.7218707 0.07923349
6.338108 0.05586723 0.039596148
6.1961102 0.103704974 0.044996783
6.364524 0.13242617 0.1274734
6.4187775 0.025646307 0.028338911
6.4141088 0.31115478 0.04147297
6.132151 0.054425687 0.071049444
6.3186464 0.07329311 0.023509191
6.434719 0.1637307 0.84228617
6.183387 0.14433248 0.04565016
6.2220225 0.52324915 0.12588975
6.1490865 0.070739314 0.02780534
6.0972586 0.059559945 0.022983026
6.3436427 0.09587003 0.04451736
6.269132 0.14755267 0.056757227
6.3083506 0.088178545 0.045492675
6.3402905 0.08190845 0.031518847
6.193889 0.09126411 0.038930133
6.381458 0.06516139 0.043943346
6.1440783 0.020756576 0.024767967
6.2248874 0.24996957 0.052587397
6.465935 0.029657705 0.04687735
6.243846 1.2927766 0.2021872
6.1013837 0.031236302 0.05232168
6.074438 1.0532274 0.104699664
6.240355 0.09647577 0.063765675
6.390392 0.073084064 0.047818817
6.160861 0.051215503 0.04269757
6.463873 0.51581407 0.304703
6.14604 0.07828148 0.034828257
6.1357923 0.14315763 0.07520478
6.1998057 0.445574 0.045423273
6.0612063 0.01534308 0.031203372
6.3580675 0.045075785 0.037714753
6.406066 0.044383157 0.03158505
6.243158 0.14862798 0.03466367
6.2277393 0.074842066 0.033465218
6.164024 0.024147946 0.028664332
6.127855 0.14406906 0.043099843
6.4072523 0.048573833 0.03775668
6.1601906 0.06315235 0.024912788
6.1760154 0.061644897 0.030531377
6.1280417 0.85972583 0.09831838
6.1781774 0.110943295 0.036877897
6.1638184 0.45241755 0.08944921
6.2765284 0.18321194 0.05747587
6.1858797 2.2806146 0.31481168
6.1986494 0.030933091 0.046840984
6.273295 1.0171998 0.08891592
6.1182833 0.042642362 0.04128348
6.2617707 0.11785512 0.07658756
6.268032 0.108094476 0.041309226
6.29927 0.065485775 0.028316822
6.0708356 0.1028917 0.027495217
6.409819 0.04174801 0.023650235
6.261519 0.016253807 0.060820147
6.498203 0.10833514 0.059263777
6.3265595 1.6052554 0.47984025
6.318487 0.03571743 0.023428613
6.1827154 0.08642509 0.050605167
6.150395 0.025571795 0.036153942
6.284942 2.0374663 0.2276008
6.4112725 0.08028085 0.042083114
6.1156993 0.17559779 0.05089367
6.171415 0.53363997 0.13043988
6.398766 0.31075054 0.06475351
6.100735 0.02673132 0.038310282
6.4004083 0.032785196 0.030368106
6.488716 0.053489253 0.047675595
6.301496 0.0696545 0.033930417
